Review,Rating,Aspek
enak  segar,5,rasa
maknyus,5,rasa
berat 500 gram yg remuk 59 gramentah packing expedisiuntuk masuk aja tlg item dos packing barang aman kirim jarak,4,pengiriman
enak banget fresh renyah,5,rasa
top recommended langgan,5,kualitas
barang sesuai deskripsi enak packing ok tebel kirim cepat thanks,5,pelayanan
murah enak fast respon,5,pelayanan
puas,5,pelayanan
barang sesuai minta bagus bungkus nya terima dg,5,pelayanan
enak kuaci,5,rasa
mantap,5,kualitas
kirim cepat packing bagus sesuai pesan coba terima kasih,5,pelayanan
emas dominan original atw asli kuaci varian apa dominan asin rasa varian rumput laut nya dominasi original sih,4,pelayanan
puas banget,5,pelayanan
terimakasih min ,5,pelayanan
udah order sekian kali jos,5,rasa
good,5,pelayanan
enaak guriih kacang,5,rasa
respon cepatharga jangkau,5,pelayanan
mantappppp recommended emping enakkkkk,5,rasa
mantapppp puas kali gurih bnget entr pesan lg suka,5,rasa
kondisi baikkurir baikmdh2an enakterimakasih,5,pelayanan
rekomended,5,kualitas
enak gurih renyah,5,rasa
kirim cepat packing rapi kurir next order lg trm ksh seller tokopedia,5,pengiriman
tumben rada asin dr hehe,4,rasa
ken banget makan keripik yg pedes aaaa kirim cepet enak pol dijadiin snack makasihh,5,pelayanan
sen mulu pedesnya naujubillah nagih walopun bikin mencret bikin kapok temen yg sok sok nyoba,5,rasa
mantap,5,kualitas
keripik nya sampe komplit enak langgan sejati  succes keripik riki,5,rasa
pedes mantap,5,rasa
jamin pedas gurih,5,rasa
pedesnya pas gak asa singkong nyasaran aja beli 5 bungkus bonus biar lariss,5,rasa
mantul beli panas perut ge,5,rasa
enak pedes bgt asin gurih pas kirim aman,5,rasa
baso aci serius enak banget tekstur baso kaca khad garut banget isi ayam enak,5,rasa
terima kasih barang,3,pengiriman
enak bgt beneran nagih kuah nya pedes pokok manteppppp,5,rasa
cepat sampai,5,pengiriman
mantapp kualitass  lumayan kirim cepatt terimakasii toko nyaaaa,4,pelayanan
barang  barang,4,pengiriman
baso aci enak isi ayam gak rasa banget sih porsi banget,4,rasa
kirim cepat pesan kemarin 22 04 produk selamat ga ga rusak,5,pengiriman
kirim cepat barang premium d,5,pengiriman
alhamdulillah barang sampai mantaps kali pedas,5,pelayanan
mantapp,5,kualitas
mantap bgt pedesnya gak pelit bumbu puas bgt belanja,5,rasa
kangen  bayar ,5,rasa
beli pagi pagi kirim nya malam patut bintang 1,1,pengiriman
kacang telur garing enak respon seller cepat kl packing bungkus bubble wrap biar aman,5,rasa
kacang telur medan sesuai order kacang enak fresh crispy seller responsif packing aman pake bubble wrap kirim cepat recommended seller,5,pelayanan
enaaaakkrenyah ,5,rasa
terimakasih barang sesuai ekspektasi ,5,pelayanan
ok terima kasih ya,5,pelayanan
barang dg,5,pengiriman
kacang enak mantap,5,rasa
produk packing kirim sip  ueennaakkk kacang,5,pelayanan
gercep bgt sellernya thank you yah,5,pengiriman
mantap renyah next order ,5,rasa
pesan cepat proses packing rapi  produk bagus sesuai deskripsi,5,pengiriman
mantap packingan rapi barang sua deskripsi enak cepat lagiseler responsif pokok rekomended seller,5,pelayanan
rencana lebaran nggak nyampe lebaran udh habis ter makan,5,rasa
packaging baik,4,pengiriman
mantap,5,kualitas
aja jual ramah moga berkah ya,4,rasa
proses cepatorder jam 1630 langsung kirim 1 jamtq seller,5,pengiriman
mantap,5,kualitas
aman,5,pelayanan
sukaaaa,5,rasa
enak harga jangkau kirim bagus nyasar,4,rasa
pake sameday cepat sellernya ramah produk oke sesuai lengkap good seller,5,pelayanan
baso aci nya enak sayang admin nya responsif huhuu maaf ya,4,rasa
cuankie nya alot ga garing yah lumayan,4,rasa
ok,3,kualitas
mantap,5,kualitas
segel rusak packing tipis,1,pengiriman
enak pokok,5,rasa
barang terima dgn cepat terimakasih,5,pengiriman
mantap barang sesuai pesan,5,pengiriman
tau sampai pagi puasa proteksi acung jempol moga original kw,5,pengiriman
mantab gan,5,kualitas
barang aslijdi beli dsini ajah gx jauhw kemalangthanks seller,5,kualitas
seller ramah baikpackaging rapi aman pakai bubble wraprecommended seller ,5,pelayanan
sesuai pesan terimakasih,5,pelayanan
kripiknya bungkus bubble satu d dimskkan dus donkthanks seller,5,pelayanan
packing aman pake wrap seller fast response mantap,5,pengiriman
keripik tebal2 keras butuh tenaga ekstra gigit beda yg dulubtw packingannya super rapi masing2 item bungkus bubble recommended seller ,3,rasa
produk bagus  fast respon  terima kasih,5,kualitas
enak,5,rasa
enak kacang empuk lumayan oke harga jangkau,5,rasa
melempem ya,4,kualitas
cepat enak muas,5,pelayanan
enak packaging rapih terima kasih,5,rasa
enak ga tengik,5,rasa
yg gosongnyaa,4,kualitas
enak mede nyaaa,5,rasa
repeay order sekian kali kardus basah kena hujan untung kacang bungkus dgn bubble wrap,5,pengiriman
mudah2an enkharus cepat pengirimanya,4,pengiriman
suka anak2,5,rasa
maaf ya barang terima,3,pelayanan
good,5,pelayanan
mantapppp  sesuai deskripsi ,5,kualitas
jagung bakar nori klop unik,3,rasa
enak kirim cepat sayang pas goreng patah2 ikan pdhl sdh frezer,4,kualitas
packing bubble  dus rapi kondisi bandeng aman moga asin pake free ongkir loseller responsif,5,pelayanan
rekomended pokok,5,kualitas
mantap rekomended,5,kualitas
mantap layan produk recommended banget,5,pelayanan
delivery on time bandeng nikmat sesuai deskripsi,5,pelayanan
layan ramah packingnya sip deliverynya prima produk top harga yg jangkau recommended banget coba ragu lho,5,pelayanan
packing baguscepat sampaiini ukasih orgsukses yaa,5,pengiriman
repeat orderke sekian kalienakkcocokk,5,rasa
ownernya ramah responya cepat packagingnya super duper rapih barang good quality repeat order sukses mbak cantik,5,pelayanan
lumayan enak tp mahal banding dg harga,3,rasa
ownernya ramah packaging ok repeat order thankyou,5,pelayanan
ownernya ramah responya cepat packaging kirim ok thankyou amut utk servicenya repeat order,5,pelayanan
seller ramah responsif bantu komunikasi nya enak packing rapi kirim cepat repeat order sih ,5,pelayanan
paket siang hr yg kirim suka terima kasih ya,5,pengiriman
fast respond jual ramah delivery on time thanks,5,pelayanan
puas banget makasih,5,pelayanan
enak pemjual responsif ramah bantu kirim cepat pesan sih,5,rasa
nasi jeruk enakayamnya jugapengiriman cepat,5,rasa
repeat order sekian kali layan respon toko kualitas makan recommended ,5,pelayanan
best enak banding produk jenis ngga eneg,5,rasa
deskripsi full baked aman utk bumil udh ksh notes utk dipastiin mateng krna lg hamil salmon msh mentah  bismillah moga gapapa kali tolong dipastiin aja kalo udh mateng,2,kualitas
salmon saus mentainya limpah ruah suka kalo lg jakarta pesan ntah kali aga asin,5,rasa
mantap,5,kualitas
sdh terima blm dimkn,5,pengiriman
enakkkk ,5,rasa
enak pesan siang jam 1 jakarta barat jam 6 sore hangat hangat microwave enak asin suka,5,rasa
enak kimcinya pas tdk pedas,5,rasa
enakasam nya pas,5,rasa
enak pas nya samwon resto kenal makan expat korean jktseller responsif bantu ttg produk,5,rasa
gmna ya kali beli kamren beli 1kg baik2 aja beli stgh kg plastik vakum nya bocor sedih sih air kimchinya ga bikin kimchi jiggae,4,pengiriman
enak bangattt,5,rasa
mantabs,5,kualitas
fresh kimchinya,5,kualitas
pesan sesuai enak kirim cepat,5,pelayanan
kayak pait paitnya,5,rasa
unt krg pedes dikit asemnya dikrgi dkt sy,5,rasa
barang puas,5,pelayanan
seng belanja dsiniprofesional bgt,5,pelayanan
mantap,5,kualitas
oke,5,pelayanan
langgan kalo kangen lumpia asli semarang langsung order posisi jakarta kualitas jaga respon cepat terima kasih ya,5,kualitas
repeat order yg sekian alhamdulillah puas seller jg ramah komunikatif tks ya sukses trs,5,pelayanan
beli sekian ,5,rasa
enak banget,5,rasa
kali pesan enak sesuai harga,5,rasa
moga kualitas,4,kualitas
order gojek tokped kecewa produk,5,kualitas
repeat order lumpia nya enak cocok delivery cepat admin nya ramah,5,pelayanan
obat kangen lumpia semarang josh gandhosss,5,rasa
tunggu buka puasa coba ya kirim super cepet mantul bgt,5,pengiriman
masam y ngk kyk ny,3,rasa
barang oke packing rapih jual responsif,5,pelayanan
sekian kali order mantap,5,rasa
enak utk tingkat,4,rasa
not bad pahit pahit,4,rasa
enakk euyy,5,rasa
mantap,5,rasa
enak suka,5,rasa
enakkkkk  udah habis order ah,5,rasa
pas,5,rasa
dah beli wkwkwkuntuk bikin kimchee jigae gado yummmm,5,rasa
kimchi nya enak,5,rasa
langgan,5,pelayanan
sesuai kirim cepat,5,pelayanan
sy sangt puas dg psanan kimchi nya  sangt enak  mantap kemas bagus rapi dn dtg wkt kurir nya sopan,5,pelayanan
packing rapih produk ok,5,pelayanan
barang sdh terima terima kasih,5,pengiriman
kirim,5,pengiriman
ayam afrika-nya enak juicy iklan yg suka potong besar2 potong paha paha paha utuh yg anak sy yg balita suka nagih terima kasih sukses yaa ,5,rasa
ntah udah sen kali ketagihaaannn enak bgttttt sihhh,5,rasa
daging lebut bumbu yummy,5,rasa
ayam enaaak empuk bumbu resap banget potong saosnya generous banget tambah pisang manis dessert kira pisang karbohidrat ganti nasi hehehe packagingnya cantik beli family pack melanin pakai neng deh ga buang sampah plastik terima kasih ya paris jakarta,5,rasa
cepet jg kirim malam pesan besok sore udh smp jd bs buka puasa ayam sambelnya mantap,4,pelayanan
ayam empuk wangi saus enak bamget yg saus ijo,5,rasa
packaging bagus enak tp warna kartu ucap gelap tulis bahan kertas kartu ucap jg sulit tulis tp overall bagus,4,pelayanan
brownies nya enakkk bgt lembut chewy asa dark chocolate jg jd ga cm manis doang suka yg kismis packing aman sentosa lucu bgt design nya beruang pantat wkwkwkterima kasih bearly baker so sorry bawel chat wkwkwk,5,rasa
temen ga foto alhamdulillah temen suka,5,rasa
super yummy,5,rasa
cepet banget kirim kemarin maghrib sen pagi udah sen lumayan hehehe terima kasih bearlybaker,5,pengiriman
sukaa best in town,5,kualitas
respon seller cepat kirim cepat thanks,5,pelayanan
browniesnya enak  respon seller cepat kayak kartu lupa tulis to  from nya tulis jg catat hehe,5,rasa
pesan yg varian 20pcs tp kirim 10pcs,1,pelayanan
order bareng produk 3 box kemas paper bag alhamdulillah aman terima juara banget sea saltnya bikin sensasi asik bgt,5,rasa
favorit,5,rasa
enak tp manis enak the diva,5,rasa
enaaak keponakan suka bgt sampe ga bagi hehehe,5,rasa
cepet uga,5,pengiriman
mantep bagus layan  cookies nya jg enaaakkk,5,pelayanan
ga obat,5,rasa
enaaakkk,5,rasa
maaf kasih ulas coba makan sahur ayam enak bumbu resap anak ku suka kirim cepat packing rapi thanks ya,5,pelayanan
suka makan dr toko enakrasa rumahanmoga2 nambah menu2nya,5,rasa
mantap ,5,kualitas
order kali top markotop enak bumbu resap daging  ayam pas lunak  recommended,5,rasa
enak terima kasih,5,rasa
belanja  puasmasakannya enak semuapacking rapihpengiriman cepatsukses yaterima kasih utk bonus,5,pelayanan
suka masakan d toko inimasakannya enakcocok ama selera,5,rasa
puasmohon tahan ya,5,kualitas
ayam goreng enak bumbu serundeng laos krg byk,5,rasa
2nd purchase,5,rasa
enak kering kentang nya fresh sip deh pokok,5,rasa
kemas pecah,4,kualitas
barang sdh dg,5,pengiriman
cepat bersih protekted,5,pengiriman
lmyn manis2 gt tp kentang lmyn garing n gurih thanks seller,5,rasa
emas kirim cepat tahana yaa,5,pengiriman
makan oke enakmungkin khusus packing msh lbh perhati ya td buka paket nya wadah kripiknya hancur bawah,5,rasa
kirim lumayan cepat utk kota medan packing kualitas recommended seller terimakasih,5,pelayanan
pesan cpt sampai emas rapi mudah2an enak,5,pengiriman
sip sesuai,5,kualitas
mantapud belanja dsni 2 x ,5,kualitas
kirim cepaaatsatu pagi 2 sekalikualitas produk enaakmasih,5,pengiriman
mantap,5,kualitas
enak nya emas rapi,5,rasa
enak,5,rasa
brg sesuai deskripsithx gan,5,pelayanan
enak lgi kl pedas,4,rasa
kimchinya enak segarcocok damping makan ,5,rasa
puas belanja kirim cepat,5,pengiriman
packaging rapih barang sesuai kirim lumayan lokasi dekat next moga baik ,5,pengiriman
seller responsif kimchi original benar2 kecutttt bangetttt,5,rasa
tipe asam kecut manis keluarga yg abet rumah cocok terima kasih,5,rasa
wenak tenan,5,rasa
kirim cepat sekali pesan siang kirim besok pagi tuju sore ,5,pengiriman
sayang kemas kimchinya letus tekan gas nya kirim yg lg sdh letus untung keburu duluan jd basah packaging dalam,4,pengiriman
the best kimchi enakkk ori nya enak manis enak pingin cobain pedas hihihiii mantul,5,rasa
seller ramah fast respon packing rapi kualitas produk kirim cepat,5,pelayanan
terima kasih barang terima kondisi bagus,5,pelayanan
enakkk,5,rasa
kirim cepat enak ,5,pelayanan
recommended ,5,rasa
enak kirim cepat terimakasih seller,5,pelayanan
respon proses kirim cepat,5,pelayanan
enak kering kentang nya fresh sip deh pokok,5,rasa
kemas pecah,4,pengiriman
barang sdh dg,5,pengiriman
cepat bersih protekted,5,pengiriman
lmyn manis2 gt tp kentang lmyn garing n gurih thanks seller,5,rasa
emas kirim cepat tahana yaa,5,pengiriman
makan oke enakmungkin khusus packing msh lbh perhati ya td buka paket nya wadah kripiknya hancur bawah,5,rasa
kirim lumayan cepat utk kota medan packing kualitas recommended seller terimakasih,5,pelayanan
packaging aman barang lengkap kemas bagus kirim cepat order yaa,5,pelayanan
puas packingan aman sayang kecewa kerja ekspedisi anter aja tokopedia jasa anter aja next day pesan tanggal 24 track ktnya tggl 25 jam 8 pagi antar buyer apapaket tanggal 27 itu tanggal 25 telfon cs anter aja responnya bantu lapor ya kak oke ditgg tanggal 26 dtg jg telfon cs nya ucap ucap yg tanggal 27 pagi telfon dgn maki krn sy pesawat makassar siang sore telfon cs 3 kali komplain yg jam 11 paket puas ekspedisi anter aja beli jasa next day yg trburu,4,pengiriman
mantab,5,kualitas
kemas trims,5,pengiriman
uenak tenan ,5,rasa
makasih seller,5,pelayanan
mantap emas kirim cepet terimakasih sellee shopee,5,pelayanan
biar bintang yg bicara pokok mantap deh,5,pelayanan
enak banget enak green tea recommend banget,5,rasa
oke packaging bocor,4,rasa
enak mantap,5,rasa
surprisingly enak banget kimchinya ngga pedas asemnya pas lengkap isi yummy,5,rasa
enak kimchinya asem pedesnya sopan ndak seger cocok lidah lokal ndak pahit sperti kimchi kemas swalayan kebanyakankemasan bagus box plastik pecah salah ekspedisi handle paket ndak kimchinya aman ndak tumpahoverall oke puas blanjanya seller ramah produk enak sukses lapak juragan mimin,5,rasa
cepet banget ngirimnya order malam pagi udah enakm pedesnya pas ga asem ending ga pahit suka campur masakan camil,5,rasa
kirim cepat kimchi nya enak makas sisss ,5,rasa
enak recommendedkwalitas bagus,4,rasa
good langgan,5,kualitas
the package was proper wrapped and the taste was really good i will order it again for sure,5,rasa
udah nama ngga kecewa toko jaga layan yah biasa,5,pelayanan
cepat paking rapi cm teri segar ya,5,kualitas
kirim lmaa,3,pengiriman
kirim cepat sesuai pesan recommended seller,5,pelayanan
kirim cepat muas ,5,pengiriman
barang terima sesuai pesan,5,pelayanan
makasssssiiihhhh enak abiz teri brasa oven ndak eneg minyak mantab dah ,4,rasa
suka anak lanang beli deh,5,rasa
beli 3 kali ,5,kualitas
beli 2 enak bangettt,5,rasa
like usual special bu rudy ,5,rasa
barang terima sesuai pesan,5,pelayanan
teri nya ga melempem udah minggu pedas dikit,5,kualitas
barang terima sesuai pesan,5,pelayanan
produk sesuai kirim lumayan cepat rapi,5,pelayanan
enak sesuai pesan,5,rasa
packing bagus tuju teri gurih enak bener,5,pelayanan
kurir nya ramah barang cepat barang nya sesuai pesan yg pesan warna biru kirim warna pink,1,pelayanan
emas aman kirim cepat bandeng fresh,5,pelayanan
barang cepat enak,5,pelayanan
response seller proses delivery cepat pesan terima kondisi sesuai order,5,pelayanan
overall ikan enak manis gurih pedas pas buka lendir panas dikirimpengiriman 1 minggu jadi styrofoam rusak,5,kualitas
mantul jual ramah fast respon,5,pelayanan
mantul sesuai pesananthanks ya gan,5,rasa
respon chat  packing terima kasih,5,pelayanan
sesuai deskripsi lapak super responsif profesional,5,pelayanan
beresssss cepat mantap dendeng nya tebal empukmantaaaaaapppp,5,rasa
packing rapi kirim cepat sdh bbrp kali beli enakkkkkkkterimakasih pakgbu,5,pelayanan
mantap cepat  thank u,5,pengiriman
terimakasih enakkkkkkkpacking rapipengiriman cepatsdh beli sekian kalinyatuhan yesus memberkatiamin,5,rasa
enak buangettttt sipp deh pokoke,5,rasa
dendeng sapi nya sesuai pesan,5,rasa
puas sdh beli sekian kali packing rapih cepat pokok mantul deh terima kasih seller selamat natal tuhan yesus kati amin,5,pelayanan
packing rapi kirim cepat enak,5,pelayanan
langgan enakkkkk packing rapih makasih ya tuhan yesus kati sukses,5,kualitas
expired nya lumayan cepet ya kas juli 2021 moga keburu apek juli habis anak kos konsumsi,4,kualitas
cepat diprosesnyaterinya enak yg original tp lbh enak lg yg balado,5,rasa
cepat diprosesnyaterinya enak yg original tp lbh enak lg yg balado,5,rasa
mantap,5,kualitas
udah kasih terang original rumput lauttp yg bbq,3,pelayanan
sedap rasa ikan nya,3,rasa
paket terima dg baiik favorit orgtua enak tdk asin jd teman mkn nasi trmksh kak,5,rasa
paket terima dg baiikk sellau pesan d krn senang orgtua trmksh ya kak sukses dn byk langgan nya,5,pelayanan
paket terima dg paking dg kardus tdk asin orgtua sy cocok dn suka sdh 2x order sellernya jg ramah trmksh ya kak sukses,5,pelayanan
enak dateng udah dicemil in,5,rasa
yg sy suka barang fresh beli langsung resto nya bs liat fresh,4,kualitas
kering ya tempe kemas ga label bu rudy gambar,4,pengiriman
proses ya ready,1,pengiriman
good product good seller,5,pelayanan
maaf aga keras yabumbunya krg brasa tks,3,rasa
kirim cepat packing rapi,5,pengiriman
sampenya cepet rapi bom dicobain,5,pengiriman
bau amis,2,rasa
barang terima sesuai photo  pesan packing ckp rapi  aman cepat nyampe nya jg makasih seller,5,pelayanan
enak suka ikan,5,rasa
enakkkk,5,rasa
enak kali beli lagitrimakasih gan,5,rasa
cocok semuanyathx ya,5,pelayanan
pas d lidah,5,rasa
favorite,5,rasa
cpt bgt sampe nya gaada 1 jam uda sampe suka bgt salad nyaa ,5,pelayanan
mantap enak banget langsung abis,5,rasa
enak saladnyacreamy kuahnyaseller ramahsampainya jg waktuthx alot yaanak sy suka salad nya,5,rasa
suuuukkkkaaaaa,5,rasa
mantulll  langgan beli salad,5,rasa
akurattpatent service excellence ciamik,5,pelayanan
enak banget nyesel beli makasih ya kak bikin salad buah enak,5,rasa
gk sempet foto dah keburu habis,5,rasa
mantulll rasa promonya ya gak promo tetep mantul karna enak itu,5,rasa
mantaaaappppp uwenaaakkk,5,rasa
pesan keju spesial yg kirim coklat keju,4,pelayanan
produk ok kali serah barang kurir malam sampai terima molor 1,4,pengiriman
alhamdulillahsampai sblm buka puasa mksh kartika sari,5,pengiriman
barang sampe kirim ya lumayan terimakasih,5,pelayanan
enak neh psg molennya packing rapi  thks yah,5,rasa
packingnya mantap sih,5,pelayanan
barang terima sesuai pesan thanks,5,pelayanan
mantul,5,rasa
enak beli langsung seller nya,5,rasa
pesan makasih seller kurir sicepat ,5,pengiriman
favorite istri kirim hampers ramadhan suka,5,rasa
ya ampunnn enak pake bngettt sambel ny enakkkk,5,rasa
kirim cepat se-asia tenggara terima kasih,5,pengiriman
,5,rasa
udh bbrp kali beli sei nya enak bgt order kali kali nih,5,rasa
langsung cobain enak mantapsambelnya jos,5,rasa
maha dahsyat wagyu beda kelas sapi,5,rasa
enak banget ,5,rasa
nice perfectobarang d terima baikrespon cepat kirim cepat layan cepat ramahbuat agan2 yg pokok gak ragu deh boss yg inidijamin memuaskanterima kasih sukses bossque,5,rasa
tq brg cpt nyampe enak,4,pelayanan
lumayan enak sayang nggak free ongkir bs next day 2 pesan,4,rasa
alhamdulillah buka puasa,5,pengiriman
puassssssssssssss kirim pacar krn pacar suka bangettt,5,rasa
mantap pisang,5,rasa
emas bagus pesan jumat jd kirim senin sabtu libur jd selasa malam,5,pengiriman
alhamdulillaah paket sdh terima kasih,5,pelayanan
enak beli langsung sellernya,5,rasa
enak n segar,5,rasa
fresh berat pas banget buka puasa,5,kualitas
respon cepat sesuai pesan,5,pelayanan
enak  suka saladnya makasih yaa,5,rasa
enk,5,rasa
enaknyaaa,5,rasa
enak bangeeeet ,5,rasa
enak bgt fresh,5,rasa
puas bangettt enak porsi bs 5 org tampak bagus kereeen mantul bgtt ,5,rasa
