Review,Rating,Aspek,Sentiment
enak  segar,5,rasa,POSITIF
maknyus,5,rasa,POSITIF
dari berat 500 gram yg remuk 59 gramentah dari awal packing atau expedisiuntuk masuk aja tlg ada item dos packing jadi barang tetap aman jika kirim jarak jauh,4,pengiriman,POSITIF
enak banget fresh dan renyah,5,rasa,POSITIF
top recommended jadi langgan terus,5,kualitas,POSITIF
barang sesuai deskripsi rasa enak packing ok tebel dan kirim cepat thanks,5,pelayanan,POSITIF
murah enak fast respon,5,pelayanan,POSITIF
puas,5,pelayanan,POSITIF
barang sesuai minta bagus bungkus nya terima dg baik,5,pelayanan,POSITIF
enak kuaci,5,rasa,POSITIF
mantap,5,kualitas,POSITIF
kirim cepat packing bagus sesuai pesan belum di coba terima kasih,5,pelayanan,POSITIF
emas luar biasa baik untuk rasa turut saya lebih dominan ke rasa original atw rasa asli kuaci mau varian rasa apa soal rasa kurang dominan dan kurang sedikit rasa asin juga yang agak rasa itu varian rasa rumput laut untuk yang lain nya turut saya kurang dominasi rasa lebih ke original sih,4,pelayanan,POSITIF
puas banget,5,pelayanan,POSITIF
terimakasih min ,5,pelayanan,POSITIF
udah order untuk sekian kali jos,5,rasa,POSITIF
good,5,pelayanan,POSITIF
enaak dan guriih kacang,5,rasa,POSITIF
respon cepatharga jangkau,5,pelayanan,POSITIF
mantappppp recommended emping enakkkkk,5,rasa,POSITIF
mantapppp puas kali gurih bnget entr mau pesan lg suka,5,rasa,POSITIF
kondisi baikkurir baikmdh2an enakterimakasih,5,pelayanan,POSITIF
rekomended,5,kualitas,POSITIF
enak gurih dan renyah,5,rasa,POSITIF
kirim cepat packing rapi kurir baik next order lg trm ksh seller dan tokopedia,5,pengiriman,POSITIF
tumben rada asin sedikit dr biasa hehe,4,rasa,POSITIF
lagi ken banget makan keripik yg pedes aaaa kirim juga cepet rasa enak pol buat dijadiin snack makasihh,5,pelayanan,POSITIF
sen ini mulu pedesnya naujubillah tapi nagih walopun bikin mencret dan bikin kapok temen yg sok sok nyoba,5,rasa,POSITIF
mantap,5,kualitas,POSITIF
keripik nya sudah sampe semua komplit enak dan langgan sejati  succes keripik riki,5,rasa,POSITIF
pedes mantap,5,rasa,POSITIF
sudah jamin pedas dan gurih,5,rasa,POSITIF
pedesnya pas cuma gak asa singkong nyasaran aja kalau beli 5 bungkus ada bonus biar makin lariss,5,rasa,POSITIF
mantul selalu beli yang ini meski panas perut ge,5,rasa,POSITIF
enak pedes bgt asin dan gurih pas kirim juga aman,5,rasa,POSITIF
baso aci serius enak banget tekstur baso kaca khad garut banget isi ayam juga enak,5,rasa,POSITIF
terima kasih barang sudah sampai,3,pengiriman,NETRAL
enak bgt beneran nagih kuah nya pedes pokok manteppppp,5,rasa,POSITIF
cepat sampai,5,pengiriman,POSITIF
mantapp kualitass  rasa lumayan kirim cepatt terimakasii toko nyaaaa,4,pelayanan,POSITIF
barang sudah sampai  barang sampai dalam ada baik,4,pengiriman,POSITIF
baso aci enak cuma isi ayam gak rasa kecil banget sih tapi untuk porsi banyak banget,4,rasa,POSITIF
kirim sangat cepat baru pesan kemarin 22 04 hari ini sudah sampai produk sampai dengan selamat ga ada kurang dan ga ada rusak,5,pengiriman,POSITIF
kirim sangat cepat barang premium d,5,pengiriman,POSITIF
alhamdulillah barang sudah sampai mantaps kali rasa pedas,5,pelayanan,POSITIF
mantapp,5,kualitas,POSITIF
mantap bgt pedesnya gak pelit bumbu puas bgt belanja sini,5,rasa,POSITIF
kangen rasa  bayar ,5,rasa,POSITIF
saya beli dari pagi pagi sekali kirim nya malam hari luar biasa patut dapat bintang 1,1,pengiriman,NEGATIF
kacang telur garing dan enak respon seller cepat kl bisa packing bungkus bubble wrap biar makin aman,5,rasa,POSITIF
kacang telur medan datang sesuai order rasa kacang enak fresh crispy seller responsif packing aman pake bubble wrap kirim cepat recommended seller,5,pelayanan,POSITIF
enaaaakkrenyah ,5,rasa,POSITIF
terimakasih barang sudah sampai dan sesuai dengan ekspektasi ,5,pelayanan,POSITIF
ok terima kasih ya,5,pelayanan,POSITIF
barang sampai dg baik,5,pengiriman,POSITIF
kacang enak mantap,5,rasa,POSITIF
produk packing kirim sip semua  ueennaakkk kacang,5,pelayanan,POSITIF
gercep bgt sellernya thank you yah,5,pengiriman,POSITIF
mantap renyah next order lagi ,5,rasa,POSITIF
pesan cepat proses packing rapi  produk bagus sesuai deskripsi,5,pengiriman,POSITIF
mantap packingan rapi barang sua deskripsi dan enak cepat sampai lagiseler responsif pokok rekomended seller,5,pelayanan,POSITIF
rencana buat lebaran nyata nggak nyampe lebaran udh habis ter makan,5,rasa,POSITIF
packaging perlu baik,4,pengiriman,POSITIF
mantap,5,kualitas,POSITIF
biasa aja rasa tapi jual baik ramah moga berkah ya,4,rasa,POSITIF
proses cepatorder jam 1630 langsung kirim dan sampai dalam waktu 1 jamtq seller,5,pengiriman,POSITIF
mantap,5,kualitas,POSITIF
aman semua,5,pelayanan,POSITIF
sukaaaa,5,rasa,POSITIF
untuk rasa enak dan harga jangkau tapi kirim kurang bagus soal nyasar,4,rasa,POSITIF
pake sameday jadi cepat sellernya ramah produk oke sesuai lengkap good seller,5,pelayanan,POSITIF
baso aci nya enak tapi sayang admin nya kurang responsif huhuu maaf ya,4,rasa,POSITIF
cuankie nya alot ga garing yah lumayan rasa,4,rasa,POSITIF
ok,3,kualitas,NETRAL
mantap,5,kualitas,POSITIF
