Review,Sentiment,Aspek
enak  segar,POSITIF,rasa
maknyus,POSITIF,rasa
berat 500 gram yg remuk 59 gramentah packing expedisiuntuk masuk aja tlg item dos packing barang aman kirim jarak,POSITIF,pelayanan
enak banget fresh renyah,POSITIF,rasa
top recommended langgan,POSITIF,kualitas
barang sesuai deskripsi enak packing ok tebel kirim cepat thanks,POSITIF,pelayanan
murah enak fast respon,POSITIF,pelayanan
puas,POSITIF,pelayanan
barang sesuai bagus bungkus nya terima dg,POSITIF,pelayanan
enak kuaci,POSITIF,rasa
mantap,POSITIF,kualitas
kirim cepat packing bagus sesuai pesan coba terima kasih,POSITIF,pelayanan
emas dominan original atw asli kuaci varian dominan asin varian rumput laut nya dominasi original sih,POSITIF,pelayanan
puas banget,POSITIF,pelayanan
terimakasih min,POSITIF,pelayanan
udah order sekian kali jos,POSITIF,rasa
good,POSITIF,pelayanan
enaak guriih kacang,POSITIF,rasa
respon cepatharga jangkau,POSITIF,pelayanan
mantappppp recommended emping enakkkkk,POSITIF,rasa
mantapppp puas kali gurih bnget entr pesan lg suka,POSITIF,rasa
kondisi baikkurir baikmdh2an enakterimakasih,POSITIF,pelayanan
rekomended,POSITIF,kualitas
enak gurih renyah,POSITIF,rasa
kirim cepat packing rapi kurir next order lg trm ksh seller tokopedia,POSITIF,pelayanan
tumben rada asin dr hehe,POSITIF,rasa
ken banget makan keripik yg pedes aaaa kirim cepet enak pol dijadiin snack makasihh,POSITIF,pelayanan
sen mulu pedesnya naujubillah nagih walopun bikin mencret bikin kapok temen yg sok sok nyoba,POSITIF,rasa
mantap,POSITIF,kualitas
keripik nya sampe komplit enak langgan sejati  succes keripik riki,POSITIF,rasa
pedes mantap,POSITIF,rasa
jamin pedas gurih,POSITIF,rasa
pedesnya pas gak asa singkong nyasaran aja beli 5 bungkus bonus biar lariss,POSITIF,rasa
mantul beli panas perut ge,POSITIF,rasa
enak pedes bgt asin gurih pas kirim aman,POSITIF,rasa
baso aci serius enak banget tekstur baso kaca khad garut banget isi ayam enak,POSITIF,rasa
terima kasih barang,POSITIF,pelayanan
enak bgt beneran nagih kuah nya pedes pokok manteppppp,POSITIF,rasa
cepat,POSITIF,pelayanan
mantapp kualitass  lumayan kirim cepatt terimakasii toko nyaaaa,POSITIF,pelayanan
barang  barang,POSITIF,pelayanan
baso aci enak isi ayam gak banget sih porsi banget,POSITIF,rasa
kirim cepat pesan kemarin 22 04 produk selamat ga ga rusak,POSITIF,pelayanan
kirim cepat barang premium d,POSITIF,pelayanan
alhamdulillah barang mantaps kali pedas,POSITIF,pelayanan
mantapp,POSITIF,kualitas
mantap bgt pedesnya gak pelit bumbu puas bgt belanja,POSITIF,rasa
kangen  bayar,POSITIF,rasa
beli pagi pagi kirim nya malam patut bintang 1,NEGATIF,pelayanan
kacang telur garing enak respon seller cepat kl packing bungkus bubble wrap biar aman,POSITIF,rasa
kacang telur medan sesuai order kacang enak fresh crispy seller responsif packing aman pake bubble wrap kirim cepat recommended seller,POSITIF,pelayanan
enaaaakkrenyah,POSITIF,rasa
terimakasih barang sesuai ekspektasi,POSITIF,pelayanan
ok terima kasih ya,POSITIF,pelayanan
barang dg,POSITIF,pelayanan
kacang enak mantap,POSITIF,rasa
produk packing kirim sip  ueennaakkk kacang,POSITIF,pelayanan
gercep bgt sellernya thank you yah,POSITIF,pelayanan
mantap renyah next order,POSITIF,rasa
pesan cepat proses packing rapi  produk bagus sesuai deskripsi,POSITIF,pelayanan
mantap packingan rapi barang sua deskripsi enak cepat lagiseler responsif pokok rekomended seller,POSITIF,pelayanan
rencana lebaran nggak nyampe lebaran udh habis ter makan,POSITIF,rasa
packaging,POSITIF,pelayanan
mantap,POSITIF,kualitas
aja jual ramah moga berkah ya,POSITIF,rasa
proses cepatorder jam 1630 langsung kirim 1 jamtq seller,POSITIF,pelayanan
mantap,POSITIF,kualitas
aman,POSITIF,pelayanan
sukaaaa,POSITIF,rasa
enak harga jangkau kirim bagus nyasar,POSITIF,rasa
pake sameday cepat sellernya ramah produk oke sesuai lengkap good seller,POSITIF,pelayanan
baso aci nya enak sayang admin nya responsif huhuu maaf ya,POSITIF,rasa
cuankie nya alot ga garing yah lumayan,POSITIF,rasa
ok,POSITIF,kualitas
mantap,POSITIF,kualitas
segel rusak packing tipis,NEGATIF,pelayanan
enak pokok,POSITIF,rasa
barang terima dgn cepat terimakasih,POSITIF,pelayanan
mantap barang sesuai pesan,POSITIF,pelayanan
tau pagi puasa proteksi acung jempol moga original kw,POSITIF,pelayanan
mantab gan,POSITIF,kualitas
barang aslijdi beli dsini ajah gx jauhw kemalangthanks seller,POSITIF,kualitas
seller ramah baikpackaging rapi aman pakai bubble wraprecommended seller,POSITIF,pelayanan
sesuai pesan terimakasih,POSITIF,pelayanan
kripiknya bungkus bubble d dimskkan dus donkthanks seller,POSITIF,pelayanan
packing aman pake wrap seller fast response mantap,POSITIF,pelayanan
keripik tebal2 keras butuh tenaga ekstra gigit beda yg dulubtw packingannya super rapi masing2 item bungkus bubble recommended seller,POSITIF,rasa
produk bagus  fast respon  terima kasih,POSITIF,kualitas
enak,POSITIF,rasa
enak kacang empuk lumayan oke harga jangkau,POSITIF,rasa
melempem ya,POSITIF,kualitas
